file,function,start_line,end_line
"hagiang_travel/storage/framework/views/4d0c43961a90426ebd92dbc193ef7a4e.php","previous",58,62
"hagiang_travel/storage/framework/views/4d0c43961a90426ebd92dbc193ef7a4e.php","next",63,67
"hagiang_travel/storage/framework/views/5924a0c758233ea6b5bc0f501ce4c07c.php","openTourModal",274,284
"hagiang_travel/storage/framework/views/5924a0c758233ea6b5bc0f501ce4c07c.php","generateMemberInputs",285,298
"hagiang_travel/storage/framework/views/5924a0c758233ea6b5bc0f501ce4c07c.php","calculateTotal",299,307
"hagiang_travel/storage/framework/views/6432668b4d05e60e3d995097e11f0410.php","openTourModal",274,284
"hagiang_travel/storage/framework/views/6432668b4d05e60e3d995097e11f0410.php","generateMemberInputs",285,298
"hagiang_travel/storage/framework/views/6432668b4d05e60e3d995097e11f0410.php","calculateTotal",299,307
"hagiang_travel/storage/framework/views/6ef339d5f05b0fe731689cfa5591a368.php","foreach",51,67
"hagiang_travel/storage/framework/views/89baa41faa7887a79b20fd51a843c1b4.php","copyToClipboard",34,42
"hagiang_travel/storage/framework/views/a349246d83ee5baf2bc009918ab671f7.php","openTourModal",138,148
"hagiang_travel/storage/framework/views/a349246d83ee5baf2bc009918ab671f7.php","generateMemberInputs",149,162
"hagiang_travel/storage/framework/views/a4fb537f659563bf00ef43280ec5dd0c.php","foreach",51,67
"hagiang_travel/tests/Feature/ExampleTest.php","test_the_application_returns_a_successful_response",13,18
"hagiang_travel/tests/Unit/ExampleTest.php","test_that_true_is_true",12,15
